0.000,0.000,6.098,5.970,2.822,1.384,70,3.040,4.119,4.602,0.000,0,20150630,8505040026,ãeêÏêÖån,â∫è¨ä}êÏ
10,48.070,6.131
10,48.220,5.715
25,48.220,5.715
4,48.220,5.715
14,48.220,5.715
0,50.680,5.654
19,53.110,5.583
19,53.110,6.683
4,53.110,5.583
14,53.260,5.573
5,53.260,5.573
0,53.330,5.573
0,53.330,5.443
0,53.400,5.443
0,53.400,4.243
0,54.500,4.243
0,54.500,5.443
0,54.570,5.443
0,54.570,5.573
0,54.640,5.573
5,54.640,5.203
0,55.120,5.225
0,55.280,5.091
0,65.000,5.091
1.200,200.000,8.965,9.053,-9999.000,-9999.000,77,8.872,7.505,7.089,0.000,0,20150806,8505040026,ãeêÏêÖån,â∫è¨ä}êÏ
0,-36.310,11.755
0,-29.940,11.172
0,-27.770,10.339
0,-24.810,10.056
7,-17.560,9.655
0,-15.540,9.672
0,-13.050,8.944
28,-12.780,8.944
5,-10.390,8.872
0,-10.350,8.872
0,-10.350,8.782
0,-10.300,8.782
0,-10.300,8.482
0,-10.000,8.482
0,-10.000,8.782
0,-9.950,8.782
0,-9.950,8.872
5,-9.910,8.872
24,-9.910,8.872
3,-8.600,9.438
0,-5.470,9.487
0,-1.830,9.449
8,-0.940,8.991
2,0.000,8.665
1,0.000,8.965
2,0.000,8.665
8,0.860,8.339
0,2.130,8.025
10,5.590,6.759
10,9.350,5.478
8,9.350,5.478
24,10.990,4.961
0,11.490,4.954
8,11.680,4.557
16,12.120,4.492
0,13.300,4.300
0,14.630,4.324
0,15.830,4.105
0,17.670,3.764
0,19.560,4.321
0,22.700,4.433
8,23.340,4.237
16,23.460,4.499
0,23.680,4.957
25,24.200,4.952
8,25.870,5.487
10,25.870,5.487
10,28.810,6.459
0,28.920,6.615
0,33.270,8.008
8,34.260,8.350
2,35.190,8.743
18,35.190,9.053
2,35.190,8.743
8,36.100,9.094
0,37.090,9.459
0,41.090,9.516
3,54.870,9.028
25,60.030,7.089
5,60.760,6.964
0,60.810,6.964
0,60.810,6.844
0,60.870,6.844
0,60.870,6.344
0,61.370,6.344
0,61.370,6.844
0,61.430,6.844
0,61.430,6.964
5,61.480,6.964
7,61.480,6.964
0,62.040,6.973
0,63.220,7.505
0,71.660,7.427
0,72.100,7.277
0,72.310,7.315
0,72.980,7.520
0,86.330,7.429
1.400,200.000,12.122,13.394,-9999.000,-9999.000,68,12.432,11.763,12.648,0.000,0,20150807,8505040026,ãeêÏêÖån,â∫è¨ä}êÏ
0,-29.430,20.292
0,-25.430,18.292
0,-23.170,17.462
7,-21.140,15.226
28,-16.500,12.823
5,-14.890,12.499
0,-14.820,12.499
0,-14.820,12.199
0,-14.370,12.199
0,-14.370,12.499
5,-14.300,12.499
0,-10.100,12.691
5,-5.570,12.432
0,-5.520,12.432
0,-5.520,12.332
0,-5.470,12.332
0,-5.470,12.032
0,-5.170,12.032
0,-5.170,12.332
0,-5.120,12.332
0,-5.120,12.432
5,-5.070,12.432
24,-5.070,12.432
3,-3.380,12.604
0,-1.710,12.567
8,-0.870,12.263
2,0.000,11.852
1,0.000,12.122
2,0.000,11.852
8,0.960,11.403
24,6.020,9.233
0,18.520,9.066
0,27.930,9.253
0,33.390,9.224
0,35.020,8.929
0,36.380,8.886
0,37.370,9.271
0,38.020,9.280
0,38.940,9.076
16,39.660,8.433
0,40.730,8.313
0,41.200,8.107
16,43.040,8.456
0,43.270,9.044
0,44.540,9.011
0,45.490,8.544
0,47.540,8.528
25,48.240,9.095
0,48.680,9.302
8,55.500,12.555
2,56.380,13.064
18,56.380,13.394
2,56.380,13.064
8,57.240,13.512
0,57.720,13.697
0,59.240,13.753
3,60.440,13.692
25,62.460,12.648
19,63.520,12.531
19,63.520,13.731
8,63.520,12.531
8,64.360,12.487
10,64.360,12.487
10,64.360,11.737
0,65.450,11.763
16,65.450,11.763
0,66.850,11.290
0,70.000,10.227
1.600,200.000,13.182,13.214,-9999.000,-9999.000,76,12.156,13.415,12.766,0.000,0,20150807,8505040026,ãeêÏêÖån,â∫è¨ä}êÏ
0,-30.620,11.912
0,-26.260,12.200
0,-26.260,12.250
23,-21.920,12.250
23,-15.130,12.250
28,-14.580,12.250
0,-11.530,12.222
5,-9.210,12.155
0,-9.150,12.155
0,-9.150,12.095
0,-9.090,12.095
0,-9.090,11.495
0,-8.590,11.495
0,-8.590,12.095
0,-8.530,12.095
0,-8.530,12.155
5,-8.470,12.155
8,-8.470,12.155
8,-8.200,12.156
24,-8.200,12.156
10,-8.200,12.156
10,-7.980,12.616
8,-7.980,12.616
8,-7.380,12.616
3,-6.030,13.344
14,-5.200,13.359
0,-2.580,13.415
14,-1.190,13.372
0,-0.810,13.369
8,-0.390,13.179
2,0.000,12.922
1,0.000,13.182
2,0.000,12.922
8,0.490,12.577
24,6.200,9.916
0,8.850,9.976
0,9.490,10.153
0,11.710,10.060
0,12.810,9.731
0,15.390,9.730
0,15.700,9.624
16,16.330,9.586
0,17.910,9.528
16,18.370,9.601
25,18.370,9.601
10,18.370,9.601
10,19.330,10.121
0,19.610,10.459
8,24.180,12.581
2,24.600,12.864
18,24.600,13.214
2,24.600,12.864
8,25.010,13.090
0,25.490,13.374
0,28.180,13.377
0,35.120,13.325
3,39.480,13.203
25,42.840,12.766
5,42.840,12.766
0,42.890,12.766
0,42.890,12.466
0,43.190,12.466
0,43.190,12.766
5,43.240,12.766
0,47.400,13.081
0,48.820,13.328
0,52.940,13.306
5,53.450,13.143
0,53.500,13.143
